Year	Model	Model Code	MSRP	Dlr Inv.	Model Description
2021	HR-V	RU5H1MEXW	"$23,565.00 "	"$22,349.38 "	2WD 5D 1.8 L4 Sport Continuously Variable Transmission w/Premium Color
2021	HR-V	RU5H5MJXW	"$24,420.00 "	"$23,158.43 "	2WD 5D 1.8 L4 EX Continuously Variable Transmission
2021	HR-V	RU5H5MJXW	"$24,815.00 "	"$23,532.20 "	2WD 5D 1.8 L4 EX Continuously Variable Transmission w/Premium Color
2021	HR-V	RU5H7MJXW	"$26,020.00 "	"$24,672.43 "	2WD 5D 1.8 L4 EX-L Continuously Variable Transmission
2021	HR-V	RU5H7MJXW	"$26,415.00 "	"$25,046.20 "	2WD 5D 1.8 L4 EX-L Continuously Variable Transmission w/Premium Color
2021	HR-V	RU6H3MEW	"$22,720.00 "	"$21,666.81 "	AWD 5D 1.8 L4 LX Continuously Variable Transmission
2021	HR-V	RU6H3MEW	"$23,115.00 "	"$22,040.58 "	AWD 5D 1.8 L4 LX Continuously Variable Transmission w/Premium Color
2021	HR-V	RU6H1MEW	"$24,670.00 "	"$23,394.99 "	AWD 5D 1.8 L4 Sport Continuously Variable Transmission
2021	HR-V	RU6H1MEW	"$25,065.00 "	"$23,768.76 "	AWD 5D 1.8 L4 Sport Continuously Variable Transmission w/Premium Color
2021	HR-V	RU6H5MJW	"$25,920.00 "	"$24,577.80 "	AWD 5D 1.8 L4 EX Continuously Variable Transmission
2021	HR-V	RU6H5MJW	"$26,315.00 "	"$24,951.57 "	AWD 5D 1.8 L4 EX Continuously Variable Transmission w/Premium Color
2021	HR-V	RU6H7MJNW	"$27,520.00 "	"$26,091.80 "	AWD 5D 1.8 L4 EX-L Continuously Variable Transmission
2021	HR-V	RU6H7MJNW	"$27,915.00 "	"$26,465.57 "	AWD 5D 1.8 L4 EX-L Continuously Variable Transmission w/Premium Color
2021	HR-V	RU6H9MKNW	"$29,340.00 "	"$27,360.67 "	AWD 5D 1.8 L4 Touring Continuously Variable Transmission w/ Navi
2021	HR-V	RU6H9MKNW	"$29,735.00 "	"$27,734.44 "	AWD 5D 1.8 L4 Touring Continuously Variable Transmission w/Navi and Premium Color
2021	PASSPORT	YF7H2MEW	"$32,790.00 "	"$30,571.93 "	2WD 5D 3.5L V6 Sport 9-Speed Automatic Transmission
2021	PASSPORT	YF7H2MEW	"$33,185.00 "	"$30,939.60 "	2WD 5D 3.5L V6 Sport 9-Speed Automatic Transmission w/Premium Color
2021	PASSPORT	YF7H5MJNW	"$36,810.00 "	"$34,313.75 "	2WD 5D 3.5L V6 EX-L 9-Speed Automatic Transmission
2021	PASSPORT	YF7H5MJNW	"$37,205.00 "	"$34,681.42 "	2WD 5D 3.5L V6 EX-L 9-Speed Automatic Transmission w/Premium Color
2021	PASSPORT	YF7H9MKNW	"$39,680.00 "	"$36,372.09 "	2WD 5D 3.5L V6 Touring 9-Speed Automatic
2021	PASSPORT	YF7H9MKNW	"$40,075.00 "	"$36,739.76 "	2WD 5D 3.5L V6 Touring 9-Speed Automatic w/Premium Color
2021	PASSPORT	YF8H2MEW	"$34,790.00 "	"$32,433.53 "	AWD 5D 3.5L V6 Sport 9-Speed Automatic Transmission
2021	PASSPORT	YF8H2MEW	"$35,185.00 "	"$32,801.20 "	AWD 5D 3.5L V6 Sport 9-Speed Automatic Transmission w/Premium Color
2021	PASSPORT	YF8H5MJNW	"$38,810.00 "	"$36,175.35 "	AWD 5D 3.5L V6 EX-L 9-Speed Automatic Transmission
2021	PASSPORT	YF8H5MJNW	"$39,205.00 "	"$36,543.02 "	AWD 5D 3.5L V6 EX-L 9-Speed Automatic Transmission w/Premium Color
2021	PASSPORT	YF8H9MKNW	"$41,680.00 "	"$38,202.79 "	AWD 5D 3.5L V6 Touring 9-Speed Automatic
2021	PASSPORT	YF8H9MKNW	"$42,075.00 "	"$38,570.46 "	AWD 5D 3.5L V6 Touring 9-Speed Automatic w/Premium Color
2021	PASSPORT	YF8H0MKNW	"$44,180.00 "	"$40,491.16 "	AWD 5D 3.5L V6 Elite 9-Speed Automatic Transmission
2021	PASSPORT	YF8H0MKNW	"$44,575.00 "	"$40,858.83 "	AWD 5D 3.5L V6 Elite 9-Speed Automatic Transmission w/Premium Color
2021	CIVIC 5DR	FK7H3MEW	"$22,200.00 "	"$21,172.08 "	5D 1.5T L4 LX Continuously Variable Transmission PZEV
2021	CIVIC 5DR	FK7H3MEW	"$22,595.00 "	"$21,545.85 "	5D 1.5T L4 LX Continuously Variable Transmission w/Premium Color
